id,title,releaseTear,img,genres,rating,ratingCount,clasification,duration,members
"tt0111161","Cadena perpetua",1994,"https://m.media-amazon.com/images/M/MV5BMTA1MjE0Nzk4MDleQTJeQWpwZ15BbWU4MDA0NjIxMjAx._V1_.jpg","Drama",9.3,3073957,"13",8520,"Dirección:  | Reparto principal:  /  /  / "
"tt0068646","El padrino",1972,"https://m.media-amazon.com/images/M/MV5BNTljNjllNDAtMzc0MS00ZGExLThlOTktOTRlNzc3YjA3ZWFlXkEyXkFqcGc@._V1_.jpg","Crimen, Drama",9.2,2144424,"18",10500,"Dirección:  | Reparto principal:  /  /  / "
"tt0468569","El caballero oscuro",2008,"https://m.media-amazon.com/images/M/MV5BMTMxNTMwODM0NF5BMl5BanBnXkFtZTcwODAyMTk2Mw@@._V1_.jpg","Acción, Crimen, Drama",9.1,3048178,"13",9120,"Dirección:  | Reparto principal:  /  /  / "
"tt0071562","El padrino parte II",1974,"https://m.media-amazon.com/images/M/MV5BMjQ5MzQxZTEtMmE1Yy00NjZlLTk5ODItNjI3MWIxMjk1M2U5XkEyXkFqcGc@._V1_.jpg","Crimen, Drama",9,1442445,"18",12120,"Dirección:  | Reparto principal:  /  /  / "
"tt0050083","12 hombres sin piedad",1957,"https://m.media-amazon.com/images/M/MV5BYThhOGFhODktNGEwNi00MzY2LTg3YWYtNzAzZTE0MTFlMWQxXkEyXkFqcGc@._V1_.jpg","Crimen, Drama",9,938584,"A",5760,"Dirección:  | Reparto principal:  /  /  / "
"tt0167260","El señor de los anillos: El retorno del rey",2003,"https://m.media-amazon.com/images/M/MV5BZGEzZDkzNDgtMGMzZi00NjNhLTliNWMtMTllYzQ2OTQwNGFkXkEyXkFqcGc@._V1_.jpg","Aventura, Drama, Fantasía",9,2094271,"13",12060,"Dirección:  | Reparto principal:  /  /  / "
"tt0108052","La lista de Schindler",1993,"https://m.media-amazon.com/images/M/MV5BZWUyNTJmOTMtZGM4MC00NWE2LThmZTUtZWE1NGM2YzYwZjRlXkEyXkFqcGc@._V1_.jpg","Biografía, Drama, Historia",9,1536298,"13",11700,"Dirección:  | Reparto principal:  /  /  / "
"tt0110912","Pulp Fiction",1994,"https://m.media-amazon.com/images/M/MV5BMzNlNGRkZWYtNmE0Yy00NjQyLWFmMzItYWY5NGM2YWU4OWYwXkEyXkFqcGc@._V1_.jpg","Crimen, Drama",8.8,2354144,"18",9240,"Dirección:  | Reparto principal:  /  /  / "
"tt0120737","El señor de los anillos: La comunidad del anillo",2001,"https://m.media-amazon.com/images/M/MV5BNDM0ZTRjNDAtMWFiOS00MjZiLThhZjYtNGQ0ODQ5MGE3Y2Y0XkEyXkFqcGc@._V1_.jpg","Aventura, Drama, Fantasía",8.9,2126276,"12",10680,"Dirección:  | Reparto principal:  /  /  / "
"tt0060196","El bueno, el feo y el malo",1966,"https://m.media-amazon.com/images/M/MV5BN2FmNmM5OTUtODEwMC00NDE5LWI4ZTUtZTg1ZmZlYjVjN2EyXkEyXkFqcGc@._V1_.jpg","Aventura, Drama, Del oeste",8.8,862495,"14",10920,"Dirección:  | Reparto principal:  /  /  / "
